Drug	Gene	Guideline	CPIC Level	ClinPGx Level of Evidence	PGx on FDA Label	CPIC Publications (PMID)
peginterferon alfa-2b	IFNL3	https://www.clinpgx.org/guideline/PA166251455	A	1A	Informative PGx	24096968
peginterferon alfa-2b	IFNL4	https://www.clinpgx.org/guideline/PA166251455	A	1A		
pegloticase	G6PD	https://www.clinpgx.org/guideline/PA166251450	A	3	Testing Required	36049896
phenytoin	CYP2C9	https://www.clinpgx.org/guideline/PA166251461	A	1A	Actionable PGx	25099164,32779747
phenytoin	HLA-B	https://www.clinpgx.org/guideline/PA166251461	A	1A	Actionable PGx	25099164,32779747
piroxicam	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	A	1A	Actionable PGx	32189324
pitavastatin	SLCO1B1	https://www.clinpgx.org/guideline/PA166264281	A	1A		35152405
plazomicin	MT-RNR1	https://www.clinpgx.org/guideline/PA166251466	A		Actionable PGx	34032273
pravastatin	SLCO1B1	https://www.clinpgx.org/guideline/PA166264281	A	1A		35152405
primaquine	G6PD	https://www.clinpgx.org/guideline/PA166251450	A	3	Testing Required	36049896
rasburicase	G6PD	https://www.clinpgx.org/guideline/PA166251450	A	1A	Testing Required	24787449,36049896
ribostamycin	MT-RNR1	https://www.clinpgx.org/guideline/PA166251466	A			34032273
rosuvastatin	ABCG2	https://www.clinpgx.org/guideline/PA166264281	A	1A		35152405
rosuvastatin	SLCO1B1	https://www.clinpgx.org/guideline/PA166264281	A	1A	Informative PGx	35152405
sertraline	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	A	1A		25974703,37032427
sevoflurane	CACNA1S	https://www.clinpgx.org/guideline/PA166251460	A	1A	Actionable PGx	30499100
sevoflurane	RYR1	https://www.clinpgx.org/guideline/PA166251460	A	1A	Actionable PGx	30499100
simvastatin	SLCO1B1	https://www.clinpgx.org/guideline/PA166264281	A	1A		22617227,24918167,35152405
streptomycin	MT-RNR1	https://www.clinpgx.org/guideline/PA166251466	A	1A	Actionable PGx	34032273
succinylcholine	CACNA1S	https://www.clinpgx.org/guideline/PA166251460	A	1A	Actionable PGx	30499100
succinylcholine	RYR1	https://www.clinpgx.org/guideline/PA166251460	A	1A	Actionable PGx	30499100
tacrolimus	CYP3A5	https://www.clinpgx.org/guideline/PA166251451	A	1A		25801146
tafenoquine	G6PD	https://www.clinpgx.org/guideline/PA166251450	A		Testing Required	36049896
tamoxifen	CYP2D6	https://www.clinpgx.org/guideline/PA166251458	A	1A	Informative PGx	29385237
tenoxicam	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	A	1A		32189324
thioguanine	NUDT15	https://www.clinpgx.org/guideline/PA166251442	A	3	Testing Recommended	21270794,23422873,30447069,41618934
thioguanine	TPMT	https://www.clinpgx.org/guideline/PA166251442	A	1A	Testing Recommended	21270794,23422873,30447069,41618934
tobramycin	MT-RNR1	https://www.clinpgx.org/guideline/PA166251466	A	1A	Actionable PGx	34032273
toluidine blue	G6PD	https://www.clinpgx.org/guideline/PA166251450	A			36049896
tramadol	CYP2D6	https://www.clinpgx.org/guideline/PA166251454	A	1A	Actionable PGx	33387367
tropisetron	CYP2D6	https://www.clinpgx.org/guideline/PA166251457	A	1A		28002639
voriconazole	CYP2C19	https://www.clinpgx.org/guideline/PA166251456	A	1A	Informative PGx	27981572
vortioxetine	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	A	1A	Actionable PGx	37032427
warfarin	CYP2C9	https://www.clinpgx.org/guideline/PA166251465	A	1A	Actionable PGx	21900891,28198005
warfarin	CYP4F2	https://www.clinpgx.org/guideline/PA166251465	A	1A		21900891,28198005
warfarin	VKORC1	https://www.clinpgx.org/guideline/PA166251465	A	1A	Actionable PGx	21900891,28198005
clomipramine	CYP2C19	https://www.clinpgx.org/guideline/PA166251445	B	1A		23486447,27997040
clomipramine	CYP2D6	https://www.clinpgx.org/guideline/PA166251445	B	1A	Informative PGx	23486447,27997040
desipramine	CYP2D6	https://www.clinpgx.org/guideline/PA166251445	B	1A	Informative PGx	23486447,27997040
dexlansoprazole	CYP2C19	https://www.clinpgx.org/guideline/PA166251441	B	1A	Informative PGx	32770672
doxepin	CYP2C19	https://www.clinpgx.org/guideline/PA166251445	B	1A	Informative PGx	23486447,27997040
doxepin	CYP2D6	https://www.clinpgx.org/guideline/PA166251445	B	1A	Informative PGx	23486447,27997040
fluvoxamine	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	B	1A	Actionable PGx	25974703,37032427
hydrocodone	CYP2D6	https://www.clinpgx.org/guideline/PA166251454	B	1A		33387367
imipramine	CYP2C19	https://www.clinpgx.org/guideline/PA166251445	B	1A		23486447,27997040
imipramine	CYP2D6	https://www.clinpgx.org/guideline/PA166251445	B	1A	Informative PGx	23486447,27997040
metoprolol	CYP2D6	https://www.clinpgx.org/guideline/PA166343383	B	1A	Informative PGx	38951961
