Drug	Gene	Guideline	CPIC Level	ClinPGx Level of Evidence	PGx on FDA Label	CPIC Publications (PMID)
venlafaxine	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
venlafaxine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C	3		37032427
venlafaxine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C	4		37032427
vilazodone	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C			37032427
vilazodone	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C			37032427
vitamin c	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
vitamin k	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
vortioxetine	CYP2C19	https://www.clinpgx.org/guideline/PA166251452	C			37032427
vortioxetine	HTR2A	https://www.clinpgx.org/guideline/PA166251452	C			37032427
vortioxetine	SLC6A4	https://www.clinpgx.org/guideline/PA166251452	C			37032427
